Hole_No,Coordinates,Groundwater,Depth_From,Depth_To,Thickness,Soil_Type,N_Value
BH-01,"X: 231451.12, Y: 432123.55",GL -1.5m,0.0,1.5,1.5,매립층,10/30
BH-01,"X: 231451.12, Y: 432123.55",GL -1.5m,1.5,3.0,1.5,풍화토,50/15
BH-01,"X: 231451.12, Y: 432123.55",GL -1.5m,3.0,4.5,1.5,매립층,10/30
BH-01,"X: 231451.12, Y: 432123.55",GL -1.5m,4.5,6.0,1.5,풍화토,50/15
BH-01,"X: 231451.12, Y: 432123.55",GL -1.5m,6.0,7.5,1.5,매립층,10/30
BH-01,"X: 231451.12, Y: 432123.55",GL -1.5m,7.5,9.0,1.5,풍화토,50/15
BH-01,"X: 231451.12, Y: 432123.55",GL -1.5m,9.0,10.5,1.5,매립층,10/30
BH-01,"X: 231451.12, Y: 432123.55",GL -1.5m,10.5,12.0,1.5,풍화토,50/15
BH-01,"X: 231451.12, Y: 432123.55",GL -1.5m,12.0,13.5,1.5,매립층,10/30
BH-01,"X: 231451.12, Y: 432123.55",GL -1.5m,13.5,15.0,1.5,풍화토,50/15
BH-01,"X: 231451.12, Y: 432123.55",GL -1.5m,15.0,16.5,1.5,매립층,10/30
BH-01,"X: 231451.12, Y: 432123.55",GL -1.5m,16.5,18.0,1.5,풍화토,50/15
BH-01,"X: 231451.12, Y: 432123.55",GL -1.5m,18.0,19.5,1.5,매립층,10/30
BH-01,"X: 231451.12, Y: 432123.55",GL -1.5m,19.5,21.0,1.5,풍화토,50/15
