프로젝트명,경도,위도,표고,시추공명,상심도,하심도,지층명
PJ_1-1,197344.925,522283.946,52.25,NH-1,0.0,2.0,매립토
PJ_1-1,197344.925,522283.946,52.25,NH-1,2.0,4.8,퇴적토
PJ_1-1,197344.925,522283.946,52.25,NH-1,4.8,14.0,풍화토
PJ_1-1,197344.925,522283.946,52.25,NH-1,14.0,22.0,풍화암
PJ_1-1,197341.323,522264.528,52.27,NH-2,0.0,2.0,매립토
PJ_1-1,197341.323,522264.528,52.27,NH-2,2.0,26.0,풍화토
PJ_1-1,197341.323,522264.528,52.27,NH-2,26.0,31.0,풍화암
PJ_1-1,197353.528,522248.598,51.93,NH-3,0.0,2.0,매립토
PJ_1-1,197353.528,522248.598,51.93,NH-3,2.0,7.6,퇴적토
PJ_1-1,197353.528,522248.598,51.93,NH-3,7.6,19.0,풍화토
PJ_1-1,197353.528,522248.598,51.93,NH-3,19.0,25.0,풍화암
PJ_1-1,197353.528,522248.598,51.93,NH-3,25.0,26.0,풍화토
PJ_1-1,197353.528,522248.598,51.93,NH-3,26.0,28.0,연암
PJ_1-1,197353.528,522248.598,51.93,NH-3,28.0,30.0,보통암
PJ_1-1,197353.528,522248.598,51.93,NH-3,30.0,31.0,풍화암
PJ_1-2,518659.5,518659.5,49.2,BH-1,0.0,1.6,매립토
PJ_1-2,518659.5,518659.5,49.2,BH-1,1.6,2.5,퇴적토
PJ_1-2,518659.5,518659.5,49.2,BH-1,2.5,2.6,매립토
PJ_1-2,518659.5,518659.5,49.2,BH-1,2.6,4.6,퇴적토
PJ_1-2,518659.5,518659.5,49.2,BH-1,4.6,5.0,풍화토
PJ_1-2,518659.5,518659.5,49.2,BH-1,5.0,5.7,퇴적토
PJ_1-2,518659.5,518659.5,49.2,BH-1,5.7,9.0,풍화토
PJ_1-2,518659.5,518659.5,49.2,BH-1,9.0,9.6,풍화암
PJ_1-2,518659.5,518659.5,49.2,BH-1,9.6,10.0,풍화토
PJ_1-2,518659.5,518659.5,49.2,BH-1,10.0,10.7,풍화암
PJ_1-2,518659.5,518659.5,49.2,BH-1,10.7,11.0,연암
PJ_1-2,518659.5,518659.5,49.2,BH-1,11.0,15.0,풍화암
PJ_1-2,518659.5,518659.5,49.2,BH-1,15.0,20.0,연암
PJ_1-2,518659.5,518659.5,49.2,BH-1,20.0,28.0,보통암
PJ_1-2,518659.5,518659.5,49.2,BH-1,28.0,30.0,연암
PJ_1-3,200052.222,519140.537,46.02,BH-1,0.0,3.5,매립토
PJ_1-3,200052.222,519140.537,46.02,BH-1,3.5,6.0,풍화토
PJ_1-3,200052.222,519140.537,46.02,BH-1,6.0,21.0,풍화암
PJ_1-3,200052.222,519140.537,46.02,BH-1,21.0,24.0,연암
PJ_1-3,200041.181,519111.221,45.4,BH-2,0.0,0.1,매립토
PJ_1-3,200041.181,519111.221,45.4,BH-2,0.1,5.0,풍화토
PJ_1-3,200041.181,519111.221,45.4,BH-2,5.0,14.0,풍화암
PJ_1-3,200041.181,519111.221,45.4,BH-2,14.0,20.0,보통암
PJ_1-3,200024.01,519085.062,43.87,BH-3,0.0,0.3,매립토
PJ_1-3,200024.01,519085.062,43.87,BH-3,0.3,5.0,풍화토
PJ_1-3,200024.01,519085.062,43.87,BH-3,5.0,10.0,풍화암
PJ_1-3,200024.01,519085.062,43.87,BH-3,10.0,16.0,연암
PJ_1-3,200024.01,519085.062,43.87,BH-3,16.0,20.0,보통암
PJ_1-3,200049.473,519101.271,46.0,BH-4,0.0,1.5,매립토
PJ_1-3,200049.473,519101.271,46.0,BH-4,1.5,5.0,풍화토
PJ_1-3,200049.473,519101.271,46.0,BH-4,5.0,8.5,풍화암
PJ_1-3,200049.473,519101.271,46.0,BH-4,8.5,14.5,연암
PJ_1-3,200049.473,519101.271,46.0,BH-4,14.5,20.5,보통암
PJ_1-3,200049.473,519101.271,46.0,BH-4,20.5,30.0,경암
PJ_1-4,199949.292,519205.416,40.74,NH-1,0.0,2.6,매립토
PJ_1-4,199949.292,519205.416,40.74,NH-1,2.6,3.9,퇴적토
PJ_1-4,199949.292,519205.416,40.74,NH-1,3.9,4.9,풍화토
PJ_1-4,199949.292,519205.416,40.74,NH-1,4.9,5.5,풍화암
PJ_1-4,199949.292,519205.416,40.74,NH-1,5.5,15.0,연암
PJ_1-6,199983.04,519226.49,41.7,BH-1,0.0,2.5,매립토
PJ_1-6,199983.04,519226.49,41.7,BH-1,2.5,14.0,풍화토
PJ_1-6,199983.04,519226.49,41.7,BH-1,14.0,17.5,풍화암
PJ_1-6,199983.04,519226.49,41.7,BH-1,17.5,40.0,연암
PJ_1-6,200014.88,519229.98,41.9,BH-2,0.0,5.3,매립토
PJ_1-6,200014.88,519229.98,41.9,BH-2,5.3,11.0,풍화토
PJ_1-6,200014.88,519229.98,41.9,BH-2,11.0,14.0,풍화암
PJ_1-6,200014.88,519229.98,41.9,BH-2,14.0,40.0,연암
PJ_1-6,200042.73,519237.23,43.45,BH-3,0.0,6.8,매립토
PJ_1-6,200042.73,519237.23,43.45,BH-3,6.8,14.0,풍화토
PJ_1-6,200042.73,519237.23,43.45,BH-3,14.0,23.0,풍화암
PJ_1-6,200042.73,519237.23,43.45,BH-3,23.0,40.0,연암
PJ_1-7,197406.98,522167.17,50.5,BH-1,0.0,2.6,매립토
PJ_1-7,197406.98,522167.17,50.5,BH-1,2.6,8.0,풍화토
PJ_1-7,197406.98,522167.17,50.5,BH-1,8.0,32.0,풍화암
PJ_1-7,197406.98,522167.17,50.5,BH-1,32.0,35.0,연암
PJ_1-7,197432.36,522184.55,50.75,BH-2,0.0,3.2,매립토
PJ_1-7,197432.36,522184.55,50.75,BH-2,3.2,8.0,풍화토
PJ_1-7,197432.36,522184.55,50.75,BH-2,8.0,10.0,풍화암
PJ_1-7,197432.36,522184.55,50.75,BH-2,10.0,15.0,연암
PJ_1-7,197413.52,522184.38,50.6,BH-3,0.0,4.5,매립토
PJ_1-7,197413.52,522184.38,50.6,BH-3,4.5,5.0,풍화토
PJ_1-7,197413.52,522184.38,50.6,BH-3,5.0,7.8,풍화암
PJ_1-7,197413.52,522184.38,50.6,BH-3,7.8,15.0,연암
PJ_1-9,201500.288,516153.487,24.99,BH-1,0.0,6.0,매립토
PJ_1-9,201500.288,516153.487,24.99,BH-1,6.0,28.0,풍화토
PJ_1-9,201500.288,516153.487,24.99,BH-1,28.0,33.0,풍화암
PJ_1-9,201492.391,516135.237,25.02,BH-2,0.0,5.0,매립토
PJ_1-9,201492.391,516135.237,25.02,BH-2,5.0,27.0,풍화토
PJ_1-9,201492.391,516135.237,25.02,BH-2,27.0,32.0,풍화암
PJ_1-9,201507.12,516133.818,26.09,BH-3,0.0,7.0,매립토
PJ_1-9,201507.12,516133.818,26.09,BH-3,7.0,27.0,풍화토
PJ_1-9,201507.12,516133.818,26.09,BH-3,27.0,32.0,풍화암
PJ_1-11,194786.949,520566.466,44.75,NH-1,0.0,2.5,매립토
PJ_1-11,194786.949,520566.466,44.75,NH-1,2.5,18.0,풍화토
PJ_1-11,194786.949,520566.466,44.75,NH-1,18.0,30.0,풍화암
PJ_1-11,194845.076,520567.273,45.05,NH-2,0.0,2.0,매립토
PJ_1-11,194845.076,520567.273,45.05,NH-2,2.0,19.5,풍화토
PJ_1-11,194845.076,520567.273,45.05,NH-2,19.5,25.0,풍화암
PJ_1-12,194985.701,520528.852,42.68,NH-1,0.0,3.5,매립토
PJ_1-12,194985.701,520528.852,42.68,NH-1,3.5,9.2,퇴적토
