프로젝트명,경도,위도,표고,시추공명,상심도,하심도,지층명
PJ_1-1,197344.925,522283.946,52.25,NH-1,0.0,2.0,매립토
PJ_1-1,197344.925,522283.946,52.25,NH-1,2.0,3.7,퇴적토
PJ_1-1,197344.925,522283.946,52.25,NH-1,3.7,21.0,풍화토
PJ_1-1,197344.925,522283.946,52.25,NH-1,21.0,32.0,풍화암
PJ_1-1,197341.323,522264.528,52.27,NH-2,0.0,1.8,매립토
PJ_1-1,197341.323,522264.528,52.27,NH-2,1.8,5.3,퇴적토
PJ_1-1,197341.323,522264.528,52.27,NH-2,5.3,15.0,풍화토
PJ_1-1,197341.323,522264.528,52.27,NH-2,15.0,32.0,풍화암
PJ_1-1,197353.528,522248.598,51.93,NH-3,0.0,2.5,매립토
PJ_1-1,197353.528,522248.598,51.93,NH-3,2.5,5.6,퇴적토
PJ_1-1,197353.528,522248.598,51.93,NH-3,5.6,9.0,풍화토
PJ_1-1,197353.528,522248.598,51.93,NH-3,9.0,30.0,풍화암
PJ_1-2,201585.625,518659.5,49.2,BH-1,0.0,1.0,매립토
PJ_1-2,201585.625,518659.5,49.2,BH-1,1.0,10.0,풍화토
PJ_1-2,201585.625,518659.5,49.2,BH-1,10.0,17.0,풍화암
PJ_1-2,201585.625,518659.5,49.2,BH-1,17.0,20.0,연암
PJ_1-3,200052.222,519140.537,46.02,BH-1,0.0,2.5,매립토
PJ_1-3,200052.222,519140.537,46.02,BH-1,2.5,7.6,풍화토
PJ_1-3,200052.222,519140.537,46.02,BH-1,7.6,10.0,연암
PJ_1-3,200052.222,519140.537,46.02,BH-1,10.0,16.0,보통암
PJ_1-3,200041.181,519111.221,45.4,BH-2,0.0,2.5,매립토
PJ_1-3,200041.181,519111.221,45.4,BH-2,2.5,8.0,풍화토
PJ_1-3,200041.181,519111.221,45.4,BH-2,8.0,10.2,풍화암
PJ_1-3,200041.181,519111.221,45.4,BH-2,10.2,13.0,연암
PJ_1-3,200041.181,519111.221,45.4,BH-2,13.0,20.0,보통암
