프로젝트명,경도,위도,표고,시추공명,상심도,하심도,지층명
PJ_1-1,197344.925,522283.946,52.25,NH-1,0.0,2.0,매립토
PJ_1-1,197344.925,522283.946,52.25,NH-1,2.0,4.8,퇴적토
PJ_1-1,197344.925,522283.946,52.25,NH-1,4.8,14.0,풍화토
PJ_1-1,197344.925,522283.946,52.25,NH-1,14.0,22.0,풍화암
PJ_1-1,197341.323,522264.528,52.27,NH-2,0.0,2.0,매립토
PJ_1-1,197341.323,522264.528,52.27,NH-2,2.0,26.0,풍화토
PJ_1-1,197341.323,522264.528,52.27,NH-2,26.0,31.0,풍화암
PJ_1-1,197353.528,522248.598,51.93,NH-3,0.0,2.0,매립토
PJ_1-1,197353.528,522248.598,51.93,NH-3,2.0,7.6,퇴적토
PJ_1-1,197353.528,522248.598,51.93,NH-3,7.6,19.0,풍화토
PJ_1-1,197353.528,522248.598,51.93,NH-3,19.0,25.0,풍화암
PJ_1-1,197353.528,522248.598,51.93,NH-3,25.0,26.0,풍화토
PJ_1-1,197353.528,522248.598,51.93,NH-3,26.0,28.0,연암
PJ_1-1,197353.528,522248.598,51.93,NH-3,28.0,30.0,보통암
PJ_1-1,197353.528,522248.598,51.93,NH-3,30.0,31.0,풍화암
PJ_1-2,200052.222,519140.537,46.02,BH-1,0.0,1.4,매립토
PJ_1-2,200052.222,519140.537,46.02,BH-1,1.4,5.7,퇴적토
PJ_1-2,200052.222,519140.537,46.02,BH-1,5.7,13.0,풍화암
PJ_1-2,200052.222,519140.537,46.02,BH-1,13.0,20.0,연암
PJ_1-2,200041.181,519111.221,45.4,BH-2,0.0,2.6,매립토
PJ_1-2,200041.181,519111.221,45.4,BH-2,2.6,4.6,퇴적토
PJ_1-2,200041.181,519111.221,45.4,BH-2,4.6,7.0,풍화토
PJ_1-2,200041.181,519111.221,45.4,BH-2,7.0,13.0,풍화암
PJ_1-2,200041.181,519111.221,45.4,BH-2,13.0,20.0,연암
PJ_1-2,200024.01,519085.062,43.87,BH-3,0.0,0.5,매립토
PJ_1-2,200024.01,519085.062,43.87,BH-3,0.5,2.1,퇴적토
PJ_1-2,200024.01,519085.062,43.87,BH-3,2.1,8.5,풍화토
PJ_1-2,200024.01,519085.062,43.87,BH-3,8.5,12.0,풍화암
PJ_1-2,200049.473,519101.271,46.0,BH-4,0.0,1.6,매립토
PJ_1-2,200049.473,519101.271,46.0,BH-4,1.6,4.0,퇴적토
PJ_1-2,200049.473,519101.271,46.0,BH-4,4.0,9.0,풍화토
PJ_1-2,200049.473,519101.271,46.0,BH-4,9.0,9.6,풍화암
PJ_1-2,200049.473,519101.271,46.0,BH-4,9.6,10.0,풍화토
PJ_1-2,200049.473,519101.271,46.0,BH-4,10.0,10.7,풍화암
PJ_1-2,200049.473,519101.271,46.0,BH-4,10.7,11.0,연암
PJ_1-2,200049.473,519101.271,46.0,BH-4,11.0,15.0,풍화암
PJ_1-2,200049.473,519101.271,46.0,BH-4,15.0,20.0,연암
PJ_1-2,200049.473,519101.271,46.0,BH-4,20.0,28.0,보통암
PJ_1-2,200049.473,519101.271,46.0,BH-4,28.0,30.0,연암
PJ_1-3,199949.292,519205.416,40.74,NH-1,0.0,3.5,매립토
PJ_1-3,199949.292,519205.416,40.74,NH-1,3.5,6.0,풍화토
PJ_1-3,199949.292,519205.416,40.74,NH-1,6.0,14.0,풍화암
PJ_1-3,199949.292,519205.416,40.74,NH-1,14.0,16.0,연암
PJ_1-3,199949.292,519205.416,40.74,NH-1,16.0,20.5,보통암
PJ_1-3,199949.292,519205.416,40.74,NH-1,20.5,21.0,풍화암
PJ_1-3,199949.292,519205.416,40.74,NH-1,21.0,24.0,연암
PJ_1-3,199949.292,519205.416,40.74,NH-1,24.0,30.0,경암
PJ_1-4,199983.04,519226.49,41.7,BH-1,0.0,2.6,매립토
PJ_1-4,199983.04,519226.49,41.7,BH-1,2.6,4.0,풍화토
PJ_1-4,199983.04,519226.49,41.7,BH-1,4.0,5.5,풍화암
PJ_1-4,199983.04,519226.49,41.7,BH-1,5.5,15.0,연암
PJ_1-4,200014.88,519229.98,41.9,BH-2,0.0,1.7,매립토
PJ_1-4,200014.88,519229.98,41.9,BH-2,1.7,3.9,퇴적토
PJ_1-4,200014.88,519229.98,41.9,BH-2,3.9,4.9,풍화토
PJ_1-4,200014.88,519229.98,41.9,BH-2,4.9,15.0,연암
PJ_1-5,197406.98,522167.17,50.5,BH-1,0.0,3.7,매립토
PJ_1-5,197406.98,522167.17,50.5,BH-1,3.7,10.7,퇴적토
PJ_1-5,197406.98,522167.17,50.5,BH-1,10.7,13.0,풍화토
PJ_1-5,197406.98,522167.17,50.5,BH-1,13.0,13.8,연암
PJ_1-5,197432.36,522184.55,50.75,BH-2,0.0,3.7,매립토
PJ_1-5,197432.36,522184.55,50.75,BH-2,3.7,10.8,퇴적토
PJ_1-5,197432.36,522184.55,50.75,BH-2,10.8,12.8,풍화토
PJ_1-5,197432.36,522184.55,50.75,BH-2,12.8,13.8,연암
PJ_1-5,197413.52,522184.38,50.6,BH-3,0.0,1.5,매립토
PJ_1-5,197413.52,522184.38,50.6,BH-3,1.5,30.0,연암
PJ_1-6,200153.858,520666.619,64.7,BH-1,0.0,6.8,매립토
PJ_1-6,200153.858,520666.619,64.7,BH-1,6.8,14.0,풍화토
PJ_1-6,200153.858,520666.619,64.7,BH-1,14.0,23.0,풍화암
PJ_1-6,200153.858,520666.619,64.7,BH-1,23.0,40.0,연암
PJ_1-7,199671.943,520981.853,142.49,TB-1,0.0,4.5,매립토
PJ_1-7,199671.943,520981.853,142.49,TB-1,4.5,5.0,풍화토
PJ_1-7,199671.943,520981.853,142.49,TB-1,5.0,7.8,풍화암
PJ_1-7,199671.943,520981.853,142.49,TB-1,7.8,8.0,풍화토
PJ_1-7,199671.943,520981.853,142.49,TB-1,8.0,10.0,풍화암
PJ_1-7,199671.943,520981.853,142.49,TB-1,10.0,15.0,연암
PJ_1-7,199671.943,520981.853,142.49,TB-1,15.0,32.0,풍화암
PJ_1-7,199671.943,520981.853,142.49,TB-1,32.0,35.0,연암
PJ_1-9,198285.592,523151.362,52.48,BH-1,0.0,6.0,매립토
PJ_1-9,198285.592,523151.362,52.48,BH-1,6.0,28.0,풍화토
PJ_1-9,198285.592,523151.362,52.48,BH-1,28.0,33.0,풍화암
PJ_1-9,198279.237,523119.827,52.33,BH-2,0.0,5.0,매립토
PJ_1-9,198279.237,523119.827,52.33,BH-2,5.0,27.0,풍화토
PJ_1-9,198279.237,523119.827,52.33,BH-2,27.0,32.0,풍화암
PJ_1-9,198306.412,523121.879,49.63,BH-3,0.0,7.0,매립토
PJ_1-9,198306.412,523121.879,49.63,BH-3,7.0,27.0,풍화토
PJ_1-9,198306.412,523121.879,49.63,BH-3,27.0,32.0,풍화암
PJ_1-11,421982.904,421982.904,62.0,NH-1,0.0,2.5,매립토
PJ_1-11,421982.904,421982.904,62.0,NH-1,2.5,18.0,풍화토
PJ_1-11,421982.904,421982.904,62.0,NH-1,18.0,30.0,풍화암
PJ_1-11,421960.16,421960.16,62.0,NH-2,0.0,2.0,매립토
PJ_1-11,421960.16,421960.16,62.0,NH-2,2.0,19.5,풍화토
PJ_1-11,421960.16,421960.16,62.0,NH-2,19.5,25.0,풍화암
PJ_1-12,199324.923,522882.608,53.54,BH-1,0.0,3.5,매립토
PJ_1-12,199324.923,522882.608,53.54,BH-1,3.5,9.2,퇴적토
PJ_1-12,199324.923,522882.608,53.54,BH-1,9.2,12.3,풍화토
