프로젝트명,경도,위도,표고,시추공명,상심도,하심도,지층명
PJ_1-1,202473.35,518757.43,45.29,BH-1,0.0,2.0,매립토
PJ_1-1,202473.35,518757.43,45.29,BH-1,2.0,4.8,퇴적토
PJ_1-1,202473.35,518757.43,45.29,BH-1,4.8,14.0,풍화토
PJ_1-1,202473.35,518757.43,45.29,BH-1,14.0,22.0,풍화암
PJ_1-1,202495.73,518759.25,45.75,BH-2,0.0,2.0,매립토
PJ_1-1,202495.73,518759.25,45.75,BH-2,2.0,26.0,풍화토
PJ_1-1,202495.73,518759.25,45.75,BH-2,26.0,31.0,풍화암
PJ_1-1,202460.67,518717.21,45.41,BH-3,0.0,2.0,매립토
PJ_1-1,202460.67,518717.21,45.41,BH-3,2.0,26.0,풍화토
PJ_1-1,202460.67,518717.21,45.41,BH-3,26.0,31.0,풍화암
PJ_1-1,202495.11,518707.31,45.28,BH-4,0.0,2.0,매립토
PJ_1-1,202495.11,518707.31,45.28,BH-4,2.0,7.6,퇴적토
PJ_1-1,202495.11,518707.31,45.28,BH-4,7.6,19.0,풍화토
PJ_1-1,202495.11,518707.31,45.28,BH-4,19.0,25.0,풍화암
PJ_1-1,202495.11,518707.31,45.28,BH-4,25.0,28.0,연암
PJ_1-1,202495.11,518707.31,45.28,BH-4,28.0,30.0,보통암
PJ_1-2,203127.421,518098.416,41.4,BH-1,0.0,1.4,매립토
PJ_1-2,203127.421,518098.416,41.4,BH-1,1.4,5.7,퇴적토
PJ_1-2,203127.421,518098.416,41.4,BH-1,5.7,13.0,풍화암
PJ_1-2,203127.421,518098.416,41.4,BH-1,13.0,20.0,연암
PJ_1-2,203085.946,518095.052,40.9,BH-2,0.0,1.6,매립토
PJ_1-2,203085.946,518095.052,40.9,BH-2,1.6,2.5,퇴적토
PJ_1-2,203085.946,518095.052,40.9,BH-2,2.5,2.6,매립토
PJ_1-2,203085.946,518095.052,40.9,BH-2,2.6,4.6,퇴적토
PJ_1-2,203085.946,518095.052,40.9,BH-2,4.6,9.0,풍화토
PJ_1-2,203085.946,518095.052,40.9,BH-2,9.0,9.6,풍화암
PJ_1-2,203085.946,518095.052,40.9,BH-2,9.6,10.0,풍화토
PJ_1-2,203085.946,518095.052,40.9,BH-2,10.0,10.7,풍화암
PJ_1-2,203085.946,518095.052,40.9,BH-2,10.7,11.0,연암
PJ_1-2,203085.946,518095.052,40.9,BH-2,11.0,15.0,풍화암
PJ_1-2,203085.946,518095.052,40.9,BH-2,15.0,20.0,연암
PJ_1-2,203085.946,518095.052,40.9,BH-2,20.0,28.0,보통암
PJ_1-2,203085.946,518095.052,40.9,BH-2,28.0,30.0,연암
PJ_1-3,208149.824,518995.461,95.96,NX-1,0.0,3.5,매립토
PJ_1-3,208149.824,518995.461,95.96,NX-1,3.5,6.0,풍화토
PJ_1-3,208149.824,518995.461,95.96,NX-1,6.0,21.0,풍화암
PJ_1-3,208149.824,518995.461,95.96,NX-1,21.0,24.0,연암
PJ_1-3,208058.543,518957.894,95.92,NX-2,0.0,0.1,매립토
PJ_1-3,208058.543,518957.894,95.92,NX-2,0.1,5.0,풍화토
PJ_1-3,208058.543,518957.894,95.92,NX-2,5.0,14.0,풍화암
PJ_1-3,208058.543,518957.894,95.92,NX-2,14.0,20.0,보통암
PJ_1-3,208010.852,518961.53,95.82,NX-3,0.0,0.3,매립토
PJ_1-3,208010.852,518961.53,95.82,NX-3,0.3,5.0,풍화토
PJ_1-3,208010.852,518961.53,95.82,NX-3,5.0,10.0,풍화암
PJ_1-3,208010.852,518961.53,95.82,NX-3,10.0,16.0,연암
PJ_1-3,208010.852,518961.53,95.82,NX-3,16.0,20.0,보통암
PJ_1-3,208036.057,519001.148,96.58,NX-4,0.0,1.5,매립토
PJ_1-3,208036.057,519001.148,96.58,NX-4,1.5,5.0,풍화토
PJ_1-3,208036.057,519001.148,96.58,NX-4,5.0,8.5,풍화암
PJ_1-3,208036.057,519001.148,96.58,NX-4,8.5,14.5,연암
PJ_1-3,208036.057,519001.148,96.58,NX-4,14.5,20.5,보통암
PJ_1-3,208036.057,519001.148,96.58,NX-4,20.5,30.0,경암
PJ_1-4,202964.753,418132.543,42.0,BH-1,0.0,2.6,매립토
PJ_1-4,202964.753,418132.543,42.0,BH-1,2.6,4.0,풍화토
PJ_1-4,202964.753,418132.543,42.0,BH-1,4.0,5.5,풍화암
PJ_1-4,202964.753,418132.543,42.0,BH-1,5.5,15.0,연암
PJ_1-4,202962.122,418115.905,41.5,BH-2,0.0,1.7,매립토
PJ_1-4,202962.122,418115.905,41.5,BH-2,1.7,3.9,퇴적토
PJ_1-4,202962.122,418115.905,41.5,BH-2,3.9,4.9,풍화토
PJ_1-4,202962.122,418115.905,41.5,BH-2,4.9,15.0,연암
PJ_1-5,204791.0,519796.0,71.1,BH-1,0.0,3.7,매립토
PJ_1-5,204791.0,519796.0,71.1,BH-1,3.7,10.7,퇴적토
PJ_1-5,204791.0,519796.0,71.1,BH-1,10.7,13.0,풍화토
PJ_1-5,204791.0,519796.0,71.1,BH-1,13.0,13.8,연암
PJ_1-5,204791.0,519811.0,71.2,BH-2,0.0,3.7,매립토
PJ_1-5,204791.0,519811.0,71.2,BH-2,3.7,10.8,퇴적토
PJ_1-5,204791.0,519811.0,71.2,BH-2,10.8,12.8,풍화토
PJ_1-5,204791.0,519811.0,71.2,BH-2,12.8,13.8,연암
PJ_1-5,204773.0,519802.0,65.9,BH-3,0.0,1.5,매립토
PJ_1-5,204773.0,519802.0,65.9,BH-3,1.5,30.0,연암
PJ_1-6,204416.95,519985.36,56.48,BH-1,0.0,2.5,매립토
PJ_1-6,204416.95,519985.36,56.48,BH-1,2.5,14.0,풍화토
PJ_1-6,204416.95,519985.36,56.48,BH-1,14.0,17.5,풍화암
PJ_1-6,204416.95,519985.36,56.48,BH-1,17.5,40.0,연암
PJ_1-6,204395.25,519967.94,56.0,BH-2,0.0,5.3,매립토
PJ_1-6,204395.25,519967.94,56.0,BH-2,5.3,11.0,풍화토
PJ_1-6,204395.25,519967.94,56.0,BH-2,11.0,14.0,풍화암
PJ_1-6,204395.25,519967.94,56.0,BH-2,14.0,40.0,연암
PJ_1-6,204423.02,519963.11,55.71,BH-3,0.0,6.8,매립토
PJ_1-6,204423.02,519963.11,55.71,BH-3,6.8,14.0,풍화토
PJ_1-6,204423.02,519963.11,55.71,BH-3,14.0,23.0,풍화암
PJ_1-6,204423.02,519963.11,55.71,BH-3,23.0,40.0,연암
PJ_1-7,204613.5,522673.254,72.5,BH-1,0.0,2.6,매립토
PJ_1-7,204613.5,522673.254,72.5,BH-1,2.6,8.0,풍화토
PJ_1-7,204613.5,522673.254,72.5,BH-1,8.0,32.0,풍화암
PJ_1-7,204613.5,522673.254,72.5,BH-1,32.0,35.0,연암
PJ_1-7,204601.5,522654.754,70.7,BH-2,0.0,3.2,매립토
PJ_1-7,204601.5,522654.754,70.7,BH-2,3.2,8.0,풍화토
PJ_1-7,204601.5,522654.754,70.7,BH-2,8.0,10.0,풍화암
PJ_1-7,204601.5,522654.754,70.7,BH-2,10.0,15.0,연암
PJ_1-7,204585.75,522630.504,70.7,BH-3,0.0,4.5,매립토
PJ_1-7,204585.75,522630.504,70.7,BH-3,4.5,5.0,풍화토
PJ_1-7,204585.75,522630.504,70.7,BH-3,5.0,7.8,풍화암
PJ_1-7,204585.75,522630.504,70.7,BH-3,7.8,15.0,연암
PJ_1-8,204801.947,519529.91,51.32,TP-1,0.0,3.4,매립토
PJ_1-8,204801.947,519529.91,51.32,TP-1,3.4,10.7,퇴적토
PJ_1-8,204801.947,519529.91,51.32,TP-1,10.7,13.5,풍화암
PJ_1-8,204801.947,519529.91,51.32,TP-1,13.5,19.0,연암
PJ_1-8,204919.338,519551.081,54.47,TP-2,0.0,1.6,매립토
