프로젝트명,경도,위도,표고,시추공명,상심도,하심도,지층명
PJ_1-1,202473.35,518757.43,45.29,BH-1,0.0,0.7,매립토
PJ_1-1,202473.35,518757.43,45.29,BH-1,0.7,14.0,풍화토
PJ_1-1,202473.35,518757.43,45.29,BH-1,14.0,17.8,풍화암
PJ_1-1,202473.35,518757.43,45.29,BH-1,17.8,21.0,보통암
PJ_1-1,202495.73,518759.25,45.75,BH-2,0.0,0.7,매립토
PJ_1-1,202495.73,518759.25,45.75,BH-2,0.7,9.0,풍화토
PJ_1-1,202495.73,518759.25,45.75,BH-2,9.0,17.4,풍화암
PJ_1-1,202495.73,518759.25,45.75,BH-2,17.4,21.0,연암
PJ_1-1,202460.67,518717.21,45.41,BH-3,0.0,0.6,매립토
PJ_1-1,202460.67,518717.21,45.41,BH-3,0.6,9.0,풍화토
PJ_1-1,202460.67,518717.21,45.41,BH-3,9.0,19.5,풍화암
PJ_1-1,202460.67,518717.21,45.41,BH-3,19.5,30.0,보통암
PJ_1-1,202495.11,518707.31,45.28,BH-4,0.0,0.4,매립토
PJ_1-1,202495.11,518707.31,45.28,BH-4,0.4,9.0,풍화토
PJ_1-1,202495.11,518707.31,45.28,BH-4,9.0,15.5,풍화암
PJ_1-1,202495.11,518707.31,45.28,BH-4,15.5,21.5,연암
PJ_1-2,203127.421,518098.416,41.4,NBH-1,0.0,2.5,매립토
PJ_1-2,203127.421,518098.416,41.4,NBH-1,2.5,5.0,퇴적토
PJ_1-2,203127.421,518098.416,41.4,NBH-1,5.0,9.0,퇴적토
PJ_1-2,203127.421,518098.416,41.4,NBH-1,9.0,12.0,풍화토
PJ_1-2,203127.421,518098.416,41.4,NBH-1,12.0,33.0,풍화암
PJ_1-2,203085.946,518095.052,40.9,NBH-2,0.0,2.7,매립토
PJ_1-2,203085.946,518095.052,40.9,NBH-2,2.7,8.0,퇴적토
PJ_1-2,203085.946,518095.052,40.9,NBH-2,8.0,20.0,풍화토
PJ_1-2,203085.946,518095.052,40.9,NBH-2,20.0,33.0,풍화암
PJ_1-3,208149.824,518995.461,95.96,NX-1,0.0,10.5,매립토
PJ_1-3,208149.824,518995.461,95.96,NX-1,10.5,12.0,풍화토
PJ_1-3,208149.824,518995.461,95.96,NX-1,12.0,16.5,풍화암
PJ_1-3,208149.824,518995.461,95.96,NX-1,16.5,22.0,연암
PJ_1-3,208149.824,518995.461,95.96,NX-1,22.0,25.0,보통암
PJ_1-3,208058.543,518957.894,95.92,NX-2,0.0,1.5,매립토
PJ_1-3,208058.543,518957.894,95.92,NX-2,1.5,8.0,풍화토
PJ_1-3,208058.543,518957.894,95.92,NX-2,8.0,11.0,풍화암
PJ_1-3,208058.543,518957.894,95.92,NX-2,11.0,14.0,연암
PJ_1-3,208058.543,518957.894,95.92,NX-2,14.0,25.0,보통암
PJ_1-3,208010.852,518961.53,95.82,NX-3,0.0,1.0,매립토
PJ_1-3,208010.852,518961.53,95.82,NX-3,1.0,15.0,풍화암
PJ_1-3,208010.852,518961.53,95.82,NX-3,15.0,21.0,연암
PJ_1-3,208010.852,518961.53,95.82,NX-3,21.0,25.0,보통암
PJ_1-3,208036.057,519001.148,96.58,NX-4,0.0,1.5,매립토
PJ_1-3,208036.057,519001.148,96.58,NX-4,1.5,8.0,풍화토
PJ_1-3,208036.057,519001.148,96.58,NX-4,8.0,22.5,풍화암
PJ_1-3,208036.057,519001.148,96.58,NX-4,22.5,25.0,연암
PJ_1-3,208073.374,518995.191,95.89,NX-5,0.0,11.0,매립토
PJ_1-3,208073.374,518995.191,95.89,NX-5,11.0,13.0,풍화토
PJ_1-3,208073.374,518995.191,95.89,NX-5,13.0,21.0,풍화암
PJ_1-3,208073.374,518995.191,95.89,NX-5,21.0,25.0,보통암
PJ_1-3,208146.452,518987.375,91.73,NX-6,0.0,15.0,매립토
PJ_1-3,208146.452,518987.375,91.73,NX-6,15.0,16.0,풍화토
PJ_1-3,208146.452,518987.375,91.73,NX-6,16.0,17.0,풍화암
PJ_1-3,208146.452,518987.375,91.73,NX-6,17.0,22.0,보통암
PJ_1-3,208121.589,519005.422,87.27,NX-7,0.0,11.5,매립토
PJ_1-3,208121.589,519005.422,87.27,NX-7,11.5,14.0,풍화토
PJ_1-3,208121.589,519005.422,87.27,NX-7,14.0,24.0,풍화암
PJ_1-3,208121.589,519005.422,87.27,NX-7,24.0,25.0,보통암
PJ_1-3,208171.589,519008.422,81.7,NX-8,0.0,10.0,매립토
PJ_1-3,208171.589,519008.422,81.7,NX-8,10.0,16.0,연암
PJ_1-3,208171.589,519008.422,81.7,NX-8,16.0,20.9,보통암
PJ_1-3,208208.93,519003.954,87.93,NX-9,0.0,7.0,매립토
PJ_1-3,208208.93,519003.954,87.93,NX-9,7.0,9.0,풍화토
PJ_1-3,208208.93,519003.954,87.93,NX-9,9.0,20.0,연암
PJ_1-3,208188.708,518960.725,96.07,NX-10,0.0,1.0,매립토
PJ_1-3,208188.708,518960.725,96.07,NX-10,1.0,4.0,풍화토
PJ_1-3,208188.708,518960.725,96.07,NX-10,4.0,22.0,풍화암
PJ_1-3,208188.708,518960.725,96.07,NX-10,22.0,25.0,연암
