프로젝트명,시추공명,경도,위도,표고,상심도,하심도,지층명
1-1,BH-1,10716.686,450690.094,17.8,0.0,14.0,토사
1-1,BH-1,10716.686,450690.094,17.8,14.0,22.0,풍화암
1-1,BH-2,10677.792,450628.144,17.55,0.0,26.0,토사
1-1,BH-2,10677.792,450628.144,17.55,26.0,31.0,풍화암
1-1,BH-3,10746.101,450606.744,17.28,0.0,26.0,토사
1-1,BH-3,10746.101,450606.744,17.28,26.0,31.0,풍화암
1-1,BH-4,10787.693,450578.867,14.94,0.0,19.0,토사
1-1,BH-4,10787.693,450578.867,14.94,19.0,25.0,풍화암
1-1,BH-4,10787.693,450578.867,14.94,25.0,28.0,리핑암
1-1,BH-4,10787.693,450578.867,14.94,28.0,30.0,발파암
1-2,NH-1,194649.252,545299.065,22.9,0.0,5.7,토사
1-2,NH-1,194649.252,545299.065,22.9,5.7,13.0,풍화암
1-2,NH-1,194649.252,545299.065,22.9,13.0,20.0,리핑암
1-2,NH-2,194662.32,545322.264,20.44,0.0,3.6,토사
1-2,NH-2,194662.32,545322.264,20.44,3.6,13.0,풍화암
1-2,NH-2,194662.32,545322.264,20.44,13.0,20.0,리핑암
1-2,NH-3,194613.798,545362.38,21.9,0.0,8.5,토사
1-2,NH-3,194613.798,545362.38,21.9,8.5,12.0,풍화암
1-2,NH-4,194635.246,545342.32,20.53,0.0,1.6,토사
1-2,NH-4,194635.246,545342.32,20.53,1.6,20.0,풍화암
1-2,NH-5,194601.774,545331.626,22.44,0.0,1.0,토사
1-2,NH-5,194601.774,545331.626,22.44,1.0,10.7,풍화암
1-2,NH-5,194601.774,545331.626,22.44,10.7,19.0,리핑암
1-2,NH-5,194601.774,545331.626,22.44,19.0,20.0,발파암
1-2,NH-6,194616.285,545324.406,22.69,0.0,7.8,토사
1-2,NH-6,194616.285,545324.406,22.69,7.8,9.6,풍화암
1-2,NH-6,194616.285,545324.406,22.69,9.6,11.0,리핑암
1-2,NH-7,194642.544,545319.22,20.87,0.0,1.0,토사
1-2,NH-7,194642.544,545319.22,20.87,1.0,9.5,풍화암
1-2,NH-7,194642.544,545319.22,20.87,9.5,18.0,리핑암
1-2,NH-7,194642.544,545319.22,20.87,18.0,45.0,토사
1-2,NH-8,194625.955,545311.029,22.58,0.0,1.6,토사
1-2,NH-8,194625.955,545311.029,22.58,1.6,10.5,풍화암
1-2,NH-8,194625.955,545311.029,22.58,10.5,19.0,리핑암
1-2,NH-8,194625.955,545311.029,22.58,19.0,28.0,발파암
1-2,NH-8,194625.955,545311.029,22.58,28.0,45.0,토사
1-2,NH-9,194593.396,545301.464,24.29,0.0,1.4,토사
1-2,NH-9,194593.396,545301.464,24.29,1.4,10.6,풍화암
1-2,NH-9,194593.396,545301.464,24.29,10.6,20.0,리핑암
1-2,NH-9,194593.396,545301.464,24.29,20.0,50.0,토사
1-2,NH-10,194621.347,545291.941,22.9,0.0,10.5,풍화암
1-2,NH-10,194621.347,545291.941,22.9,10.5,16.0,리핑암
1-2,NH-10,194621.347,545291.941,22.9,16.0,20.0,발파암
1-2,NH-11,194651.605,545276.35,22.43,0.0,4.0,토사
1-2,NH-11,194651.605,545276.35,22.43,4.0,10.5,풍화암
1-2,NH-11,194651.605,545276.35,22.43,10.5,19.0,리핑암
1-2,NH-11,194651.605,545276.35,22.43,19.0,30.0,토사
1-2,NH-12,194599.404,545265.694,23.78,0.0,0.8,토사
1-2,NH-12,194599.404,545265.694,23.78,0.8,9.5,풍화암
1-2,NH-12,194599.404,545265.694,23.78,9.5,20.0,리핑암
1-2,NH-13,194632.348,545261.796,23.7,0.0,2.0,토사
1-2,NH-13,194632.348,545261.796,23.7,2.0,11.0,풍화암
1-2,NH-13,194632.348,545261.796,23.7,11.0,20.0,리핑암
1-2,NH-14,194612.133,545252.364,23.78,0.0,1.6,토사
1-2,NH-14,194612.133,545252.364,23.78,1.6,10.0,풍화암
1-2,NH-14,194612.133,545252.364,23.78,10.0,30.0,리핑암
1-2,NH-14,194612.133,545252.364,23.78,30.0,50.0,토사
1-2,NH-15,194580.186,545242.758,27.01,0.0,0.7,토사
1-2,NH-15,194580.186,545242.758,27.01,0.7,7.0,풍화암
1-2,NH-15,194580.186,545242.758,27.01,7.0,20.0,리핑암
1-2,NH-15,194580.186,545242.758,27.01,20.0,25.0,토사
1-2,NH-16,194606.123,545231.505,24.48,0.0,5.0,토사
1-2,NH-16,194606.123,545231.505,24.48,5.0,11.0,풍화암
1-2,NH-16,194606.123,545231.505,24.48,11.0,20.0,리핑암
1-2,NH-17,194635.196,545220.169,25.47,0.0,4.0,토사
1-2,NH-17,194635.196,545220.169,25.47,4.0,15.0,풍화암
1-2,NH-17,194635.196,545220.169,25.47,15.0,20.0,리핑암
1-2,NH-18,194607.736,545213.43,25.55,0.0,6.0,토사
1-2,NH-18,194607.736,545213.43,25.55,6.0,13.0,풍화암
1-2,NH-18,194607.736,545213.43,25.55,13.0,50.0,토사
1-3,BH-1,127.02728611,37.56475278,32.05,0.0,3.5,토사
1-3,BH-1,127.02728611,37.56475278,32.05,3.5,21.0,풍화암
1-3,BH-1,127.02728611,37.56475278,32.05,21.0,24.0,리핑암
1-3,BH-2,127.02703889,37.56476667,32.45,0.0,0.1,토사
1-3,BH-2,127.02703889,37.56476667,32.45,0.1,14.0,풍화암
1-3,BH-2,127.02703889,37.56476667,32.45,14.0,20.0,발파암
1-3,BH-3,127.02697778,37.56456667,32.55,0.0,0.3,토사
1-3,BH-3,127.02697778,37.56456667,32.55,0.3,10.0,풍화암
1-3,BH-3,127.02697778,37.56456667,32.55,10.0,16.0,리핑암
1-3,BH-3,127.02697778,37.56456667,32.55,16.0,20.0,발파암
1-3,BH-4,127.02725833,37.56458333,32.23,0.0,1.5,토사
1-3,BH-4,127.02725833,37.56458333,32.23,1.5,5.0,풍화암
1-3,BH-4,127.02725833,37.56458333,32.23,5.0,14.5,리핑암
1-3,BH-4,127.02725833,37.56458333,32.23,14.5,30.0,발파암
1-4,BH-1,196364.169,556459.708,89.05,0.0,2.6,토사
1-4,BH-1,196364.169,556459.708,89.05,2.6,5.5,풍화암
