프로젝트명,경도,위도,표고,시추공명,상심도,하심도,지층명
수원시권선구_page1_project1_report,197344.925,522283.946,52.25,NH-1,0.0,21.0,토사
수원시권선구_page1_project1_report,197344.925,522283.946,52.25,NH-1,21.0,32.0,풍화암
수원시권선구_page1_project1_report,197341.323,522264.528,52.27,NH-2,0.0,15.0,토사
수원시권선구_page1_project1_report,197341.323,522264.528,52.27,NH-2,15.0,32.0,풍화암
수원시권선구_page1_project1_report,197353.528,522248.598,51.93,NH-3,0.0,9.0,토사
수원시권선구_page1_project1_report,197353.528,522248.598,51.93,NH-3,9.0,30.0,풍화암
수원시권선구_page1_project2_report,518659.5,518659.5,49.2,BH-1,0.0,10.0,토사
수원시권선구_page1_project2_report,518659.5,518659.5,49.2,BH-1,10.0,17.0,풍화암
수원시권선구_page1_project2_report,518659.5,518659.5,49.2,BH-1,17.0,20.0,연암
수원시권선구_page1_project3_report,200052.222,519140.537,46.02,BH-1,0.0,7.6,토사
수원시권선구_page1_project3_report,200052.222,519140.537,46.02,BH-1,7.6,10.0,연암
수원시권선구_page1_project3_report,200052.222,519140.537,46.02,BH-1,10.0,16.0,경암
수원시권선구_page1_project3_report,200041.181,519111.221,45.4,BH-2,0.0,8.0,토사
수원시권선구_page1_project3_report,200041.181,519111.221,45.4,BH-2,8.0,10.2,풍화암
수원시권선구_page1_project3_report,200041.181,519111.221,45.4,BH-2,10.2,13.0,연암
수원시권선구_page1_project3_report,200041.181,519111.221,45.4,BH-2,13.0,20.0,경암
수원시권선구_page1_project3_report,200024.01,519085.062,43.87,BH-3,0.0,3.0,토사
수원시권선구_page1_project3_report,200024.01,519085.062,43.87,BH-3,3.0,8.8,풍화암
수원시권선구_page1_project3_report,200024.01,519085.062,43.87,BH-3,8.8,16.0,경암
수원시권선구_page1_project3_report,200049.473,519101.271,46.0,BH-4,0.0,7.0,토사
수원시권선구_page1_project3_report,200049.473,519101.271,46.0,BH-4,7.0,10.4,풍화암
수원시권선구_page1_project3_report,200049.473,519101.271,46.0,BH-4,10.4,12.5,연암
수원시권선구_page1_project3_report,200049.473,519101.271,46.0,BH-4,12.5,20.0,경암
수원시권선구_page1_project4_report,199949.292,519205.416,40.74,NH-1,0.0,3.2,풍화암
수원시권선구_page1_project4_report,199949.292,519205.416,40.74,NH-1,3.2,15.0,경암
수원시권선구_page1_project6_report,199983.04,519226.49,41.7,BH-1,0.0,4.0,토사
수원시권선구_page1_project6_report,199983.04,519226.49,41.7,BH-1,4.0,5.0,풍화암
